"hospitalName","hospitalMapAddress"
"Acibadem Atasehir Outpatient Clinic","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac63b049c6f7f:0x84e1765448cff5bc?sa=X&ved=1t:8290&ictx=111"
"Acibadem Bahcesehir Outpatient Clinic","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14caa76e4f50b0b7:0xc91c6dc906797b81?sa=X&ved=1t:8290&ictx=111"
"Yeditepe University Genetic Diseases Centre","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab80e8902a2db:0x8fc96fbc2e2236fb?sa=X&ved=1t:8290&ictx=111"
"Acibadem Beylikduzu Surgical Outpatient Clinic","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14b55f9c06549fb1:0xbd3bafe1b13c4335?sa=X&ved=1t:8290&ictx=111"
"Yeditepe University Bagdat Street Polyclinic","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac777fbe517d3:0x3f49786a1dc42274?sa=X&ved=1t:8290&ictx=111"
"Db'est Clinic","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab70601d0d003:0xa74264a656a2ab50?sa=X&ved=1t:8290&ictx=111"
"Acibadem Fulya Hospital","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab707807610c5:0x72b3cfc287ffd5e9?sa=X&ved=1t:8290&ictx=111"
"Acibadem Etiler Outpatient Clinic","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab616ab6def45:0x8376d4aaa22e04c?sa=X&ved=1t:8290&ictx=111"
"Medicana Avcilar Hospital","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14caa1ad6740e285:0x52c44d75462e870?sa=X&ved=1t:8290&ictx=111"
"XA Clinic","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14b55f9f94f74eef:0x98fd9625c686009a?sa=X&ved=1t:8290&ictx=111"
"Acibadem Bagdat Outpatient Clinic","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac775deb617bb:0x4510218c59003161?sa=X&ved=1t:8290&ictx=111"
"Acibadem Sports Medical Center","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab7a828a2f7ff:0x16bf7be864b9c77b?sa=X&ved=1t:8290&ictx=111"
"Florence Nightingale Medical Center Gokturk","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab2ee711a39f7:0x89adcd569acf9a3d?sa=X&ved=1t:8290&ictx=111"
"Yeditepe University Kozyatagi Hospital","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac79567503cd7:0x279a4fa1c66337c1?sa=X&ved=1t:8290&ictx=111"
"Florence Nightingale Hospital Gayrettepe","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab654be0a8b29:0xe5381cfed41be7ee?sa=X&ved=1t:8290&ictx=111"
"VM Medical Park Hospital Pendik","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cadc9fdfefb785:0xc1b5cca3cb09d734?sa=X&ved=1t:8290&ictx=111"
"Hisar Hospital Camlica","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac8f4b42a9747:0xbe49cb89f1ede142?sa=X&ved=1t:8290&ictx=111"
"Acibadem Atakent Hospital","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14caa43caf72456d:0xfc02161d5fa3ee4e?sa=X&ved=1t:8290&ictx=111"
"Acibadem Bakirkoy Hospital","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cabcbab4862287:0x38ea93e510f6ec10?sa=X&ved=1t:8290&ictx=111"
"Medicana Camlica Medical Centre","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac8f70ce121f7:0x6d4d278f00743738?sa=X&ved=1t:8290&ictx=111"
"Medicana Kadikoy Hospital","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab87af77ae747:0x189c6886f5d2fc20?sa=X&ved=1t:8290&ictx=111"
"NP Brain Hospital","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac8e01398bb0b:0x136c9b57c454d1a5?sa=X&ved=1t:8290&ictx=111"
"Mira Clinic","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14b55fc29ce29ae3:0x5f1569adb826d65f?sa=X&ved=1t:8290&ictx=111"
"Memorial Hizmet Hospital","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14caa4a990e7c5e9:0xa6be302d3ce58013?sa=X&ved=1t:8290&ictx=111"
"Yeditepe University Dental Hospital","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac6fccf8e693f:0x6dd1c4c171601dcb?sa=X&ved=1t:8290&ictx=111"
"Yeditepe University Eye Centre","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab64d41a5970b:0x23f6ff5fa0204794?sa=X&ved=1t:8290&ictx=111"
"Acibadem Kozyatagi Hospital","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac64cab70324f:0x643ad9251ef87529?sa=X&ved=1t:8290&ictx=111"
"Acibadem Gokturk Outpatient Clinic","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab2ec55e09fdf:0x8271ca279dbd2fc1?sa=X&ved=1t:8290&ictx=111"
"Florence Nightingale Hospital Kadikoy","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab9f55acd4d07:0x7edd8b451972ac5a?sa=X&ved=1t:8290&ictx=111"
"Florence Nightingale Hospital Atasehir","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac63b693f223d:0xf06513351cbe69bf?sa=X&ved=1t:8290&ictx=111"
"Kolan International Hospital Sisli","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab71eeb6494c3:0x3389199997b2b08e?sa=X&ved=1t:8290&ictx=111"
"Memorial Atasehir Hospital","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac639d71d2949:0x7b2cb6e1958313b9?sa=X&ved=1t:8290&ictx=111"
"Medicana Bahcelievler Hospital","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cabb37eba86bc3:0x832afbaf07343c78?sa=X&ved=1t:8290&ictx=111"
"Acibadem Bahcesehir Outpatient Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14caa76e4f50b0b7:0xc91c6dc906797b81?sa=X&ved=1t:8290&ictx=111"
"Acibadem Beylikduzu Surgical Outpatient Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14b55f9c06549fb1:0xbd3bafe1b13c4335?sa=X&ved=1t:8290&ictx=111"
"Yeditepe University Bagdat Street Polyclinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac777fbe517d3:0x3f49786a1dc42274?sa=X&ved=1t:8290&ictx=111"
"Db'est Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab70601d0d003:0xa74264a656a2ab50?sa=X&ved=1t:8290&ictx=111"
"Flora Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab707f3585c5f:0x12854b51708a1e6f?sa=X&ved=1t:8290&ictx=111"
"Acibadem Fulya Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab707807610c5:0x72b3cfc287ffd5e9?sa=X&ved=1t:8290&ictx=111"
"Acibadem Etiler Outpatient Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab616ab6def45:0x8376d4aaa22e04c?sa=X&ved=1t:8290&ictx=111"
"Medicana Avcilar Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14caa1ad6740e285:0x52c44d75462e870?sa=X&ved=1t:8290&ictx=111"
"XA Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14b55f9f94f74eef:0x98fd9625c686009a?sa=X&ved=1t:8290&ictx=111"
"Acibadem Bagdat Outpatient Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac775deb617bb:0x4510218c59003161?sa=X&ved=1t:8290&ictx=111"
"Florence Nightingale Medical Center Gokturk Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab2ee711a39f7:0x89adcd569acf9a3d?sa=X&ved=1t:8290&ictx=111"
"Yeditepe University Kozyatagi Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac79567503cd7:0x279a4fa1c66337c1?sa=X&ved=1t:8290&ictx=111"
"APEX Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab71a9480835d:0xb9e2a2c0487282bd?sa=X&ved=1t:8290&ictx=111"
"Florence Nightingale Hospital Gayrettepe Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab654be0a8b29:0xe5381cfed41be7ee?sa=X&ved=1t:8290&ictx=111"
"VM Medical Park Hospital Pendik Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cadc9fdfefb785:0xc1b5cca3cb09d734?sa=X&ved=1t:8290&ictx=111"
"Hisar Hospital Camlica Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac8f4b42a9747:0xbe49cb89f1ede142?sa=X&ved=1t:8290&ictx=111"
"Acibadem Atakent Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14caa43caf72456d:0xfc02161d5fa3ee4e?sa=X&ved=1t:8290&ictx=111"
"Medicana Kadikoy Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab87af77ae747:0x189c6886f5d2fc20?sa=X&ved=1t:8290&ictx=111"
"Medical Park Hospital Goztepe Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac7c683d09c9f:0x1d90e3d8aa0e9479?sa=X&ved=1t:8290&ictx=111"
"NP Brain Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac8e01398bb0b:0x136c9b57c454d1a5?sa=X&ved=1t:8290&ictx=111"
"Renate Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab787d5566927:0x8b9c865f2a5dcda5?sa=X&ved=1t:8290&ictx=111"
"Mira Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14b55fc29ce29ae3:0x5f1569adb826d65f?sa=X&ved=1t:8290&ictx=111"
"Memorial Hizmet Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14caa4a990e7c5e9:0xa6be302d3ce58013?sa=X&ved=1t:8290&ictx=111"
"Yeditepe University Dental Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac6fccf8e693f:0x6dd1c4c171601dcb?sa=X&ved=1t:8290&ictx=111"
"Yeditepe University Eye Centre Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab64d41a5970b:0x23f6ff5fa0204794?sa=X&ved=1t:8290&ictx=111"
"Acibadem Kozyatagi Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac64cab70324f:0x643ad9251ef87529?sa=X&ved=1t:8290&ictx=111"
"Acibadem Gokturk Outpatient Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab2ec55e09fdf:0x8271ca279dbd2fc1?sa=X&ved=1t:8290&ictx=111"
"Florence Nightingale Hospital Kadikoy Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab9f55acd4d07:0x7edd8b451972ac5a?sa=X&ved=1t:8290&ictx=111"
"Florence Nightingale Hospital Atasehir Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac63b693f223d:0xf06513351cbe69bf?sa=X&ved=1t:8290&ictx=111"
"Kolan International Hospital Sisli Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab71eeb6494c3:0x3389199997b2b08e?sa=X&ved=1t:8290&ictx=111"
"Memorial Atasehir Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac639d71d2949:0x7b2cb6e1958313b9?sa=X&ved=1t:8290&ictx=111"
"Medicana Bahcelievler Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cabb37eba86bc3:0x832afbaf07343c78?sa=X&ved=1t:8290&ictx=111"
